Tijdstip,Waterstand,Locatie,Afstand,Lijnen,positie
,3.12,Eijsden grens,561.1,1/100,t.o.v. Jaarlijks
,2.8200000000000003,Sint Pieter noord,8805.2,1/100,t.o.v. Jaarlijks
,1.9300000000000002,Borgharen Julianakanaal,12740.5,1/100,t.o.v. Jaarlijks
,2.76,Borgharen Dorp,13967.8,1/100,t.o.v. Jaarlijks
,2.61,Lanaken,16309.7,1/100,t.o.v. Jaarlijks
,2.51,Uikhoven,22780.7,1/100,t.o.v. Jaarlijks
,2.27,Elsloo,27347.2,1/100,t.o.v. Jaarlijks
,3.39,Eisden Mazenhove,32756.1,1/100,t.o.v. Jaarlijks
,1.78,Meeswijk veer,36949.9,1/100,t.o.v. Jaarlijks
,2.2800000000000002,Negenoord-Oost,40483.0,1/100,t.o.v. Jaarlijks
,2.63,Rotem Maas,42969.1,1/100,t.o.v. Jaarlijks
,3.1,Maaseik,50804.8,1/100,t.o.v. Jaarlijks
,1.74,Stevensweert,59675.3,1/100,t.o.v. Jaarlijks
,1.99,Heel boven,67711.7,1/100,t.o.v. Jaarlijks
,2.22,Linne beneden,69714.7,1/100,t.o.v. Jaarlijks
,3.23,Roermond boven,78909.0,1/100,t.o.v. Jaarlijks
,3.83,Buggenum,82689.4,1/100,t.o.v. Jaarlijks
,3.91,Neer,86393.6,1/100,t.o.v. Jaarlijks
,3.59,Belfeld boven,96970.5,1/100,t.o.v. Jaarlijks
,3.74,Belfeld beneden,98910.3,1/100,t.o.v. Jaarlijks
,3.37,Venlo,103699.2,1/100,t.o.v. Jaarlijks
,2.25,Well Dorp,128130.7,1/100,t.o.v. Jaarlijks
,2.27,Sambeek boven,140921.3,1/100,t.o.v. Jaarlijks
,2.94,Sambeek beneden,143632.8,1/100,t.o.v. Jaarlijks
,3.19,Gennep,149547.2,1/100,t.o.v. Jaarlijks
,3.06,Mook,160239.1,1/100,t.o.v. Jaarlijks
